Customer_ID,Recency,Frequency,Monetary,F_Score,M_Score,R_Score,RFM_Segment,Segment_Name
12758,116,7,9903.24,3,5,3,335,Regular
12759,51,8,4618.74,3,5,4,435,Champions
12760,455,1,317.8,1,2,1,112,Lost
12761,464,1,712.95,1,3,1,113,Regular
12762,7,2,1702.52,1,4,5,514,New
12763,137,2,494.08,1,2,3,312,Regular
12764,316,1,1693.88,1,4,2,214,Regular
12765,471,6,1299.58,3,4,1,134,At Risk
12766,3,9,8134.99,4,5,5,545,Champions
12767,375,1,949.82,1,3,2,213,Regular
12768,450,1,168.69000000000003,1,1,1,111,Lost
12769,238,1,1143.6,1,3,2,213,Regular
12770,210,2,3246.45,1,5,2,215,Regular
12771,485,1,226.3,1,1,1,111,Lost
12772,59,1,752.47,1,3,3,313,Regular
12773,563,1,124.25,1,1,1,111,Lost
12774,535,1,83.7,1,1,1,111,Lost
12775,16,7,1551.12,3,4,5,534,Champions
12776,667,1,27.5,1,1,1,111,Lost
12777,457,1,519.45,1,2,1,112,Lost
12778,19,9,1541.68,4,4,4,444,Champions
12779,37,14,6474.11,4,5,4,445,Champions
12780,598,1,322.4,1,2,1,112,Lost
12781,63,2,786.74,1,3,3,313,Regular
12782,4,11,3862.2400000000002,4,5,5,545,Champions
12783,1,4,1295.87,2,4,5,524,New
12784,14,2,1511.15,1,4,5,514,New
12785,363,3,904.4,2,3,2,223,Regular
12786,609,1,668.5,1,3,1,113,Regular
12787,9,4,799.18,2,3,5,523,New
12788,462,4,384.9,2,2,1,122,Lost
12789,64,3,225.35,2,1,3,321,Regular
12790,191,2,546.85,1,2,2,212,Lost
12791,373,5,656.83,3,3,2,233,At Risk
12792,256,2,715.01,1,3,2,213,Regular
12793,334,3,745.53,2,3,2,223,Regular
12794,52,2,860.41,1,3,4,413,New
12795,18,1,318.48,1,2,5,512,New
12796,627,1,351.0,1,2,1,112,Lost
12797,365,2,468.08000000000004,1,2,2,212,Lost
12798,9,4,8510.93,2,5,5,525,New
12799,528,1,219.35,1,1,1,111,Lost
12800,469,2,500.25,1,2,1,112,Lost
12801,500,1,871.82,1,3,1,113,Regular
12802,186,5,2186.42,3,4,3,334,Regular
12803,392,1,1017.81,1,3,2,213,Regular
12804,465,2,325.37,1,2,1,112,Lost
12805,381,4,1230.95,2,4,2,224,Regular
12806,571,2,2558.96,1,4,1,114,Regular
12807,382,1,250.35,1,1,2,211,Lost
12808,36,5,748.7,3,3,4,433,Regular
12809,177,3,1384.3400000000001,2,4,3,324,Regular
12810,534,2,534.99,1,2,1,112,Lost
12811,261,4,893.9,2,3,2,223,Regular
12812,44,1,229.64000000000001,1,1,4,411,New
12813,501,3,1621.8,2,4,1,124,Regular
12814,101,1,85.92,1,1,3,311,Regular
12815,147,2,863.46,1,3,3,313,Regular
12816,95,2,452.20000000000005,1,2,3,312,Regular
12817,280,3,570.98,2,2,2,222,Lost
12818,261,1,1182.0800000000002,1,3,2,213,Regular
12819,457,1,540.52,1,2,1,112,Lost
12820,2,11,2689.52,4,4,5,544,Champions
12821,213,2,220.8,1,1,2,211,Lost
12822,70,2,948.88,1,3,3,313,Regular
12823,74,18,6501.5,4,5,3,345,Regular
12824,59,1,397.12,1,2,3,312,Regular
12825,520,2,518.63,1,2,1,112,Lost
12826,2,12,2800.75,4,4,5,544,Champions
12827,5,3,430.15000000000003,2,2,5,522,New
12828,2,6,1018.71,3,3,5,533,Regular
12829,336,3,385.3,2,2,2,222,Lost
12830,37,6,6814.64,3,5,4,435,Champions
12831,261,3,451.11,2,2,2,222,Lost
12832,31,2,383.03,1,2,4,412,New
12833,144,1,417.38,1,2,3,312,Regular
12834,282,1,312.38,1,2,2,212,Lost
12835,427,41,5996.83,4,5,1,145,At Risk
12836,58,15,6559.7300000000005,4,5,4,445,Champions
12837,172,2,662.66,1,3,3,313,Regular
12838,33,10,2975.91,4,5,4,445,Champions
12839,2,26,9669.12,4,5,5,545,Champions
12840,143,7,4041.97,3,5,3,335,Regular
12841,4,40,6958.2,4,5,5,545,Champions
12842,69,4,1917.99,2,4,3,324,Regular
12843,65,28,6461.87,4,5,3,345,Regular
12844,28,4,648.6,2,3,4,423,New
12845,266,4,354.09,2,2,2,222,Lost
12847,21,2,1609.0,1,4,4,414,New
12848,675,1,208.0,1,1,1,111,Lost
12849,30,6,3015.98,3,5,4,435,Champions
12850,445,1,330.0,1,2,1,112,Lost
12851,96,2,280.76,1,1,3,311,Regular
12852,294,1,311.55,1,2,2,212,Lost
12853,134,11,3907.5,4,5,3,345,Regular
12854,78,7,2970.9700000000003,3,5,3,335,Regular
12855,372,4,612.84,2,3,2,223,Regular
12856,7,6,2170.78,3,4,5,534,Champions
12857,210,6,3688.0,3,5,2,235,At Risk
12858,382,1,147.27,1,1,2,211,Lost
12859,458,1,575.1,1,2,1,112,Lost
12860,692,1,54.22,1,1,1,111,Lost
12861,619,1,68.25,1,1,1,111,Lost
12862,425,2,984.62,1,3,1,113,Regular
12863,51,6,2792.5499999999997,3,4,4,434,Champions
12864,137,2,299.57,1,2,3,312,Regular
12865,25,4,3323.47,2,5,4,425,New
12866,282,3,1092.35,2,3,2,223,Regular
12867,25,13,7829.26,4,5,4,445,Champions
12868,185,8,2043.76,3,4,3,334,Regular
12869,681,1,337.66999999999996,1,2,1,112,Lost
12870,374,3,1676.95,2,4,2,224,Regular
12871,83,3,744.02,2,3,3,323,Regular
12872,326,12,3283.96,4,5,2,245,At Risk
12873,281,3,2027.3,2,4,2,224,Regular
12874,384,2,873.42,1,3,2,213,Regular
12875,142,5,1356.99,3,4,3,334,Regular
12876,57,4,3751.79,2,5,4,425,New
12877,3,20,2942.14,4,5,5,545,Champions
12878,235,2,854.99,1,3,2,213,Regular
12879,44,3,573.22,2,2,4,422,New
12880,381,2,640.13,1,3,2,213,Regular
12881,275,1,298.0,1,2,2,212,Lost
12882,8,2,1463.04,1,4,5,514,New
12883,24,4,703.47,2,3,4,423,New
12884,87,1,309.05,1,2,3,312,Regular
12885,62,3,1175.22,2,3,3,323,Regular
12886,67,2,1378.4,1,4,3,314,Regular
12887,383,1,222.4,1,1,2,211,Lost
12888,213,2,354.12,1,2,2,212,Lost
12889,380,4,385.46000000000004,2,2,2,222,Lost
12890,23,2,706.02,1,3,4,413,New
12891,185,11,840.5,4,3,3,343,Regular
12892,396,1,263.38,1,1,2,211,Lost
12893,30,1,176.55,1,1,4,411,New
12894,574,1,157.35,1,1,1,111,Lost
12895,41,2,372.8,1,2,4,412,New
12897,204,4,514.25,2,2,2,222,Lost
12898,463,2,296.21000000000004,1,2,1,112,Lost
12899,413,1,366.4,1,2,1,112,Lost
12900,421,1,340.33,1,2,1,112,Lost
12901,8,28,17654.54,4,5,5,545,Champions
12902,264,1,138.68,1,1,2,211,Lost
12903,428,1,833.53,1,3,1,113,Regular
12904,17,2,496.06,1,2,5,512,New
12905,576,2,1018.42,1,3,1,113,Regular
12906,11,5,2919.81,3,5,5,535,Champions
12907,395,2,508.91,1,2,2,212,Lost
12908,175,5,1776.0,3,4,3,334,Regular
12909,39,8,3103.19,3,5,4,435,Champions
12910,22,13,5796.52,4,5,4,445,Champions
12911,551,1,1651.72,1,4,1,114,Regular
12912,2,5,1662.3,3,4,5,534,Champions
12913,4,13,6283.24,4,5,5,545,Champions
12914,400,1,223.98,1,1,2,211,Lost
12915,148,4,975.1,2,3,3,323,Regular
12916,138,7,4479.73,3,5,3,335,Regular
12917,127,6,4359.2,3,5,3,335,Regular
12919,7,6,1335.19,3,4,5,534,Champions
12920,16,4,486.64,2,2,5,522,New
12921,8,74,35233.24,4,5,5,545,Champions
12922,160,1,405.38,1,2,3,312,Regular
12923,63,3,769.17,2,3,3,323,Regular
12924,87,12,2461.45,4,4,3,344,Regular
12925,4,3,729.3299999999999,2,3,5,523,New
12926,410,4,1523.59,2,4,1,124,Regular
12927,394,1,197.31,1,1,2,211,Lost
12928,34,12,4304.89,4,5,4,445,Champions
12929,311,1,117.85,1,1,2,211,Lost
12930,77,2,415.8,1,2,3,312,Regular
12931,21,57,92347.34,4,5,4,445,Champions
12932,538,8,1698.56,3,4,1,134,At Risk
12933,23,8,1636.6299999999999,3,4,4,434,Champions
12934,736,1,181.65,1,1,1,111,Lost
12935,1,15,4243.86,4,5,5,545,Champions
12936,16,4,1063.9,2,3,5,523,New
12937,14,9,3097.61,4,5,5,545,Champions
12938,25,1,114.14,1,1,4,411,New
12939,63,20,25264.8,4,5,3,345,Regular
12940,54,2,899.69,1,3,4,413,New
12941,723,1,377.49,1,2,1,112,Lost
12942,130,3,675.6,2,3,3,323,Regular
12943,557,2,496.5,1,2,1,112,Lost
12944,35,2,604.51,1,3,4,413,New
12945,287,2,900.11,1,3,2,213,Regular
12946,436,1,324.45,1,2,1,112,Lost
12947,143,6,1603.99,3,4,3,334,Regular
12948,15,9,2317.43,4,4,5,544,Champions
